amount,currency,amountUSD,customer_id,transaction_date,time,location,merchant_details,transaction_id,transaction_type,year,month,day
4464.1733,EUR,4865.9487,C026,2020-10-11,10:13:59,City10,Merchant27,T00874,withdrawal,2020,10,11
347.34143,USD,347.34143,C080,2020-10-15,17:25:16,City7,Merchant30,T00978,withdrawal,2020,10,15
650.2102,GBP,825.76697,C015,2020-10-26,07:18:56,City2,Merchant28,T00236,purchase,2020,10,26
1728.351,EUR,1883.9025,C071,2020-10-03,09:21:11,City6,Merchant21,T00950,purchase,2020,10,3
329.59616,USD,329.59616,C008,2020-10-31,12:16:36,City1,Merchant24,T00250,purchase,2020,10,31
199.93079,EUR,217.92456,C004,2020-10-05,22:11:55,City1,Merchant23,T00659,withdrawal,2020,10,5
2117.271,USD,2117.271,C065,2020-10-05,12:00:50,City10,Merchant21,T00884,purchase,2020,10,5
6217.6226,USD,6217.6226,C044,2020-10-07,01:12:45,City8,Merchant27,T00335,purchase,2020,10,7
4452.677,USD,4452.677,C020,2020-10-07,10:10:33,City5,Merchant29,T00533,purchase,2020,10,7
60.847397,EUR,66.32366,C006,2020-11-10,01:43:25,City10,Merchant29,T00503,purchase,2020,11,10
1385.2347,EUR,1509.9058,C080,2020-11-16,15:13:46,City1,Merchant26,T00079,withdrawal,2020,11,16
2405.8232,GBP,3055.3955,C060,2020-11-19,13:36:48,City5,Merchant24,T00303,purchase,2020,11,19
6047.656,GBP,7680.5225,C017,2020-11-21,14:27:16,City1,Merchant22,T00211,withdrawal,2020,11,21
4307.97,EUR,4695.6875,C087,2020-11-23,19:06:15,City5,Merchant23,T00544,withdrawal,2020,11,23
859.56915,EUR,936.93036,C073,2020-11-25,23:00:10,City4,Merchant24,T00662,withdrawal,2020,11,25
3753.2136,EUR,4091.003,C081,2020-11-26,11:27:43,City2,Merchant24,T00275,withdrawal,2020,11,26
860.5908,USD,860.5908,C041,2020-11-26,17:42:12,City10,Merchant23,T00602,withdrawal,2020,11,26
1847.1045,GBP,2345.8228,C082,2020-11-29,18:27:44,City4,Merchant25,T00033,withdrawal,2020,11,29
810.639,EUR,883.5965,C012,2020-11-30,12:57:01,City9,Merchant24,T00050,withdrawal,2020,11,30
537.2036,EUR,585.55194,C003,2020-11-06,11:24:36,City9,Merchant26,T00003,withdrawal,2020,11,6
61.275185,USD,61.275185,C090,2020-12-01,06:52:52,City8,Merchant27,T00708,purchase,2020,12,1
9265.807,EUR,10099.7295,C065,2020-12-01,10:28:14,City8,Merchant24,T00731,purchase,2020,12,1
394.59592,GBP,501.1368,C080,2020-12-10,23:24:40,City7,Merchant22,T00129,withdrawal,2020,12,10
886.6273,EUR,966.42377,C032,2020-12-11,07:34:14,City3,Merchant25,T00297,withdrawal,2020,12,11
7606.7314,GBP,9660.549,C054,2020-12-17,07:11:03,City10,Merchant25,T00209,purchase,2020,12,17
1374.6678,EUR,1498.3881,C008,2020-12-19,12:30:45,City9,Merchant30,T00825,withdrawal,2020,12,19
94.02918,EUR,102.491806,C080,2020-12-21,14:54:46,City10,Merchant23,T00339,purchase,2020,12,21
18.862982,EUR,20.56065,C056,2020-12-28,11:32:23,City9,Merchant21,T00196,withdrawal,2020,12,28
871.865,GBP,1107.2686,C073,2020-12-29,13:17:48,City2,Merchant28,T00558,withdrawal,2020,12,29
6654.4175,GBP,8451.11,C004,2020-12-03,17:49:58,City6,Merchant21,T00846,purchase,2020,12,3
441.713,GBP,560.9755,C033,2020-12-08,18:27:23,City4,Merchant28,T00658,purchase,2020,12,8
459.89944,GBP,584.07227,C085,2020-01-01,20:07:30,City8,Merchant22,T00191,purchase,2020,1,1
520.711,USD,520.711,C092,2020-01-11,19:43:27,City2,Merchant22,T00005,withdrawal,2020,1,11
