amount,currency,amountUSD,customer_id,transaction_date,time,location,merchant_details,transaction_id,transaction_type,year,month,day
519.7312,GBP,660.0586,C070,2022-01-01,18:39:37,City19,Merchant8,T80338,withdrawal,2022,1,1
256.02542,EUR,279.0677,C070,2022-01-01,07:46:14,City12,Merchant15,T88754,purchase,2022,1,1
385.0597,GBP,489.02582,C094,2022-01-01,19:42:23,City17,Merchant11,T54096,purchase,2022,1,1
790.3485,GBP,1003.7426,C094,2022-01-01,19:10:13,City18,Merchant18,T83193,withdrawal,2022,1,1
823.6763,GBP,1046.0688,C094,2022-01-01,17:46:29,City16,Merchant16,T88886,withdrawal,2022,1,1
537.8896,USD,537.8896,C094,2022-01-01,14:52:13,City16,Merchant16,T96211,withdrawal,2022,1,1
863.181,USD,863.181,C094,2022-01-01,17:45:59,City16,Merchant5,T32649,purchase,2022,1,1
109.47202,EUR,119.3245,C094,2022-01-01,08:19:31,City19,Merchant8,T50195,purchase,2022,1,1
237.37024,EUR,258.73355,C094,2022-01-01,06:08:04,City12,Merchant15,T11653,purchase,2022,1,1
566.02466,EUR,616.9669,C094,2022-01-01,16:25:23,City14,Merchant18,T50647,purchase,2022,1,1
494.11398,EUR,538.5842,C094,2022-01-01,01:36:57,City11,Merchant13,T24305,withdrawal,2022,1,1
295.44327,EUR,322.03317,C094,2022-01-01,19:43:57,City20,Merchant6,T13318,purchase,2022,1,1
710.77734,USD,710.77734,C070,2022-01-01,02:22:23,City15,Merchant15,T26474,withdrawal,2022,1,1
298.08234,USD,298.08234,C070,2022-01-01,18:21:58,City19,Merchant12,T79264,withdrawal,2022,1,1
313.19836,EUR,341.3862,C070,2022-01-01,13:50:21,City12,Merchant17,T87886,purchase,2022,1,1
300.347,EUR,327.3782,C070,2022-01-01,07:51:47,City11,Merchant6,T94805,purchase,2022,1,1
31.968359,EUR,34.845512,C070,2022-01-01,04:07:42,City19,Merchant14,T15471,purchase,2022,1,1
755.4812,USD,755.4812,C070,2022-01-01,07:54:34,City17,Merchant14,T79567,purchase,2022,1,1
250.01915,GBP,317.52432,C070,2022-01-01,05:38:47,City20,Merchant17,T89517,purchase,2022,1,1
900.5418,EUR,981.5905,C070,2022-01-01,06:21:17,City14,Merchant17,T33988,withdrawal,2022,1,1
